service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
2026_HIVER-BATO_A10-Semaine-03,1,1,1,1,1,0,0,20260216,20260327,"2026-02-13 → 03-27 (6 lun, 6 mar, 6 mer, 6 jeu, 7 ven)"
2026_HIVER-BATO_A10-Semaine-04,1,1,1,1,1,0,0,20260330,20260513,"2026-03-30 → 05-13 (6 lun, 7 mar, 7 mer, 6 jeu, 4 ven)"
2026_HIVER-BATO_B01-Samedi-03,0,0,0,0,0,1,0,20260221,20260328,2026-02-14 → 03-28 (7 sam)
2026_HIVER-BATO_B01-Samedi-04,0,0,0,0,0,1,0,20260404,20260509,2026-04-04 → 05-09 (6 sam)
2026_HIVER-BATO_C01-Dimanche-03,0,0,0,0,0,0,1,20260222,20260329,2026-02-15 → 03-29 (7 dim)
2026_HIVER-BATO_C01-Dimanche-04,0,0,0,0,0,0,1,20260405,20260514,"2026-04-05 → 05-14 (lun, jeu, ven, 6 dim)"
2026_HIVER-FLEX_A00-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20260219,20260513,"2026-02-13 → 05-13 (mer, 12 jeu, 11 ven)"
2026_HIVER-FLEX_B00-Samedi-04,0,0,0,0,0,1,0,20260221,20260509,2026-02-14 → 05-09 (13 sam)
2026_HIVER-FLEX_C01-Dimanche-02,0,0,0,0,0,0,0,20260405,20260514,"2026-04-05 → 05-14 (jeu, ven, dim)"
2026_HIVER-M01_A00-Lun-Mer-06,1,1,1,0,0,0,0,20260223,20260512,"2026-02-23 → 05-12 (10 lun, 10 mar, 9 mer)"
2026_HIVER-M01_A01-Jeu-Ven-07,0,0,0,1,1,0,0,20260226,20260513,"2026-02-26 → 05-13 (mer, 9 jeu, 7 ven)"
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,0,0,0,1,1,0,0,20260226,20260513,"2026-02-26 → 05-13 (mer, 9 jeu, 7 ven)"
2026_HIVER-M01_B01-Samedi-05,0,0,0,0,0,1,0,20260221,20260509,2026-02-14 → 05-09 (13 sam)
2026_HIVER-M01_C00-Dimanche-07,0,0,0,0,0,0,1,20260222,20260510,"2026-02-15 → 05-10 (lun, 12 dim)"
2026_HIVER-M01_C01-Dimanche-08,0,0,0,0,0,0,0,20260405,20260514,"2026-04-05 → 05-14 (jeu, ven, dim)"
2026_HIVER-M02_A00-Lun-Mer-13,1,1,1,0,0,0,0,20260223,20260512,"2026-02-23 → 05-12 (10 lun, 10 mar, 9 mer)"
2026_HIVER-M02_A01-Jeu-Ven-12,0,0,0,1,1,0,0,20260226,20260513,"2026-02-26 → 05-13 (mer, 9 jeu, 7 ven)"
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,0,0,0,1,1,0,0,20260226,20260513,"2026-02-26 → 05-13 (mer, 9 jeu, 7 ven)"
2026_HIVER-M02_B01-Samedi-06,0,0,0,0,0,1,0,20260221,20260509,2026-02-14 → 05-09 (13 sam)
2026_HIVER-M02_C00-Dimanche-07,0,0,0,0,0,0,1,20260222,20260510,"2026-02-15 → 05-10 (lun, 12 dim)"
2026_HIVER-M02_C01-Dimanche-07,0,0,0,0,0,0,0,20260405,20260514,"2026-04-05 → 05-14 (jeu, ven, dim)"
2026_HIVER-M04_A00-Lun-Mer-05,1,1,1,0,0,0,0,20260223,20260512,"2026-02-23 → 05-12 (10 lun, 10 mar, 9 mer)"
2026_HIVER-M04_A01-Jeu-Ven-06,0,0,0,1,1,0,0,20260226,20260513,"2026-02-26 → 05-13 (mer, 9 jeu, 7 ven)"
2026_HIVER-M04_A01-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20260226,20260513,"2026-02-26 → 05-13 (mer, 9 jeu, 7 ven)"
2026_HIVER-M04_B01-Samedi-02,0,0,0,0,0,1,0,20260221,20260509,2026-02-14 → 05-09 (13 sam)
2026_HIVER-M04_C00-Dimanche-04,0,0,0,0,0,0,1,20260222,20260510,"2026-02-15 → 05-10 (lun, 12 dim)"
2026_HIVER-M04_C01-Dimanche-05,0,0,0,0,0,0,0,20260405,20260514,"2026-04-05 → 05-14 (jeu, ven, dim)"
