service_id,date,exception_type
2026_HIVER-BATO_A10-Semaine-04,20260406,2
2026_HIVER-BATO_A10-Semaine-04,20260501,2
2026_HIVER-BATO_A10-Semaine-04,20260508,2
2026_HIVER-BATO_C01-Dimanche-04,20260406,1
2026_HIVER-BATO_C01-Dimanche-04,20260508,1
2026_HIVER-BATO_C01-Dimanche-04,20260514,1
2026_HIVER-FLEX_A00-Jeu-Ven-04-0001100,20260513,1
2026_HIVER-FLEX_A00-Jeu-Ven-04-0001100,20260501,2
2026_HIVER-FLEX_A00-Jeu-Ven-04-0001100,20260508,2
2026_HIVER-FLEX_C01-Dimanche-02,20260405,1
2026_HIVER-FLEX_C01-Dimanche-02,20260508,1
2026_HIVER-FLEX_C01-Dimanche-02,20260514,1
2026_HIVER-M01_A00-Lun-Mer-06,20260406,2
2026_HIVER-M01_A00-Lun-Mer-06,20260407,2
2026_HIVER-M01_A00-Lun-Mer-06,20260408,2
2026_HIVER-M01_A00-Lun-Mer-06,20260413,2
2026_HIVER-M01_A00-Lun-Mer-06,20260414,2
2026_HIVER-M01_A00-Lun-Mer-06,20260415,2
2026_HIVER-M01_A01-Jeu-Ven-07,20260513,1
2026_HIVER-M01_A01-Jeu-Ven-07,20260409,2
2026_HIVER-M01_A01-Jeu-Ven-07,20260410,2
2026_HIVER-M01_A01-Jeu-Ven-07,20260416,2
2026_HIVER-M01_A01-Jeu-Ven-07,20260417,2
2026_HIVER-M01_A01-Jeu-Ven-07,20260501,2
2026_HIVER-M01_A01-Jeu-Ven-07,20260508,2
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260513,1
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260409,2
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260410,2
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260416,2
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260417,2
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260501,2
2026_HIVER-M01_A01-Jeu-Ven-07-0001100,20260508,2
2026_HIVER-M01_C00-Dimanche-07,20260406,1
2026_HIVER-M01_C00-Dimanche-07,20260405,2
2026_HIVER-M01_C01-Dimanche-08,20260405,1
2026_HIVER-M01_C01-Dimanche-08,20260508,1
2026_HIVER-M01_C01-Dimanche-08,20260514,1
2026_HIVER-M02_A00-Lun-Mer-13,20260406,2
2026_HIVER-M02_A00-Lun-Mer-13,20260407,2
2026_HIVER-M02_A00-Lun-Mer-13,20260408,2
2026_HIVER-M02_A00-Lun-Mer-13,20260413,2
2026_HIVER-M02_A00-Lun-Mer-13,20260414,2
2026_HIVER-M02_A00-Lun-Mer-13,20260415,2
2026_HIVER-M02_A01-Jeu-Ven-12,20260513,1
2026_HIVER-M02_A01-Jeu-Ven-12,20260409,2
2026_HIVER-M02_A01-Jeu-Ven-12,20260410,2
2026_HIVER-M02_A01-Jeu-Ven-12,20260416,2
2026_HIVER-M02_A01-Jeu-Ven-12,20260417,2
2026_HIVER-M02_A01-Jeu-Ven-12,20260501,2
2026_HIVER-M02_A01-Jeu-Ven-12,20260508,2
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260513,1
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260409,2
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260410,2
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260416,2
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260417,2
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260501,2
2026_HIVER-M02_A01-Jeu-Ven-12-0001100,20260508,2
2026_HIVER-M02_C00-Dimanche-07,20260406,1
2026_HIVER-M02_C00-Dimanche-07,20260405,2
2026_HIVER-M02_C01-Dimanche-07,20260405,1
2026_HIVER-M02_C01-Dimanche-07,20260508,1
2026_HIVER-M02_C01-Dimanche-07,20260514,1
2026_HIVER-M04_A00-Lun-Mer-05,20260406,2
2026_HIVER-M04_A00-Lun-Mer-05,20260407,2
2026_HIVER-M04_A00-Lun-Mer-05,20260408,2
2026_HIVER-M04_A00-Lun-Mer-05,20260413,2
2026_HIVER-M04_A00-Lun-Mer-05,20260414,2
2026_HIVER-M04_A00-Lun-Mer-05,20260415,2
2026_HIVER-M04_A01-Jeu-Ven-06,20260513,1
2026_HIVER-M04_A01-Jeu-Ven-06,20260409,2
2026_HIVER-M04_A01-Jeu-Ven-06,20260410,2
2026_HIVER-M04_A01-Jeu-Ven-06,20260416,2
2026_HIVER-M04_A01-Jeu-Ven-06,20260417,2
2026_HIVER-M04_A01-Jeu-Ven-06,20260501,2
2026_HIVER-M04_A01-Jeu-Ven-06,20260508,2
2026_HIVER-M04_A01-Jeu-Ven-06-0001100,20260513,1
2026_HIVER-M04_A01-Jeu-Ven-06-0001100,20260409,2
2026_HIVER-M04_A01-Jeu-Ven-06-0001100,20260410,2
