route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,ineo_id,ineo_nomc
01,1,1,Lianes 1,3,00B1EB,FFFFFF,1,01
02,1,2,Lianes 2,3,00B1EB,FFFFFF,2,02
04,1,4,Lianes 4,3,00B1EB,FFFFFF,3,04
05,1,5,Lianes 5,3,00B1EB,FFFFFF,5,05
07,1,7,Lianes 7,3,00B1EB,FFFFFF,7,07
08,1,8,Lianes 8,3,00B1EB,FFFFFF,8,08
09,1,9,Lianes 9,3,00B1EB,FFFFFF,9,09
15,1,15,Lianes 15,3,00B1EB,FFFFFF,15,15
16,1,16,Lianes 16,3,00B1EB,FFFFFF,16,16
17,1,17,Navette Nuit Verte,3,,,121,17
18,1,18,Navette Stade Atlantique,3,,,117,18
20,1,20,Principale 20,3,00A98B,FFFFFF,20,20
21,1,21,Principale 21,3,,,64,21
22,1,22,Principale 22,3,00A98B,FFFFFF,65,22
23,1,23,Principale 23,3,00A98B,FFFFFF,21,23
24,1,24,Principale 24,3,00A98B,FFFFFF,22,24
25,1,25,Principale 25,3,00A98B,FFFFFF,23,25
26,1,26,Principale 26,3,00A98B,FFFFFF,66,26
27,1,27,Principale 27,3,00A98B,FFFFFF,24,27
28,1,28,Principale 28,3,00A98B,FFFFFF,25,28
29,1,29,Principale 29,3,00A98B,FFFFFF,67,29
30,1,30,Locale 30,3,76B82A,FFFFFF,68,30
31,1,31,Lianes 31,3,00B1EB,FFFFFF,26,31
32,1,32,Locale 32,3,76B82A,FFFFFF,27,32
33,1,33,Locale 33,3,76B82A,FFFFFF,69,33
34,1,34,Locale 34,3,76B82A,FFFFFF,28,34
35,1,35,Lianes 35,3,00B1EB,FFFFFF,29,35
37,1,37,Locale 37,3,76B82A,FFFFFF,31,37
38,1,38,Locale 38,3,76B82A,FFFFFF,70,38
439,1,39 Est,Ligne 39 Est,3,00B1EB,FFFFFF,80,439
39,1,39,Lianes 39,3,00B1EB,FFFFFF,71,39
51,1,51,Directe 51,3,4A4A49,FFFFFF,81,51
52,1,52,Directe 52,3,4A4A49,FFFFFF,82,52
53,1,53,Directe 53,3,4A4A49,FFFFFF,83,53
454,1,54,Directe 54,3,4A4A49,FFFFFF,84,54
55,1,55,Directe 55,3,4A4A49,FFFFFF,44,55
57,1,57,Directe 57,3,4A4A49,FFFFFF,85,57
460,1,60,Locale 60,3,76B82A,FFFFFF,88,60
461,1,61,Locale 61,3,76B82A,FFFFFF,89,61
64,1,64,Locale 64,3,76B82A,FFFFFF,49,64
65,1,65,Locale 65,3,76B82A,FFFFFF,92,65
66,1,66,Locale 66,3,76B82A,FFFFFF,50,66
67,1,67,Locale 67,3,76B82A,FFFFFF,51,67
469,1,69,Locale 69,3,76B82A,FFFFFF,95,69
70,1,70,Locale 70,3,76B82A,FFFFFF,52,70
71,1,71,Locale 71,3,76B82A,FFFFFF,96,71
72,1,72,Locale 72,3,76B82A,FFFFFF,97,72
73,1,73,Locale 73,3,76B82A,FFFFFF,53,73
74,1,74,Locale 74,3,76B82A,FFFFFF,54,74
75,1,75,Locale 75,3,76B82A,FFFFFF,98,75
76,1,76,Locale 76,3,76B82A,FFFFFF,99,76
77,1,77,Locale 77,3,76B82A,FFFFFF,100,77
78,1,78,Locale 78,3,76B82A,FFFFFF,55,78
79,1,79,Locale 79,3,76B82A,FFFFFF,101,79
80,1,80,Locale 80,3,76B82A,FFFFFF,102,80
81,1,81,Locale 81,3,76B82A,FFFFFF,103,81
82,1,82,Locale 82,3,76B82A,FFFFFF,104,82
83,1,83,Locale 83,3,76B82A,FFFFFF,105,83
84,1,84,Locale 84,3,76B82A,FFFFFF,106,84
85,1,85,Locale 85,3,76B82A,FFFFFF,107,85
87,1,87,Locale 87,3,76B82A,FFFFFF,57,87
89,1,89,Locale 89,3,76B82A,FFFFFF,109,89
90,1,90,Locale 90,3,76B82A,FFFFFF,110,90
97,1,97,Ligne 97 (HLP),3,,,120,97
100,1,100,Navette Tram 100,3,,,123,100
101,1,101,Navette Tram 101,3,,,124,101
102,1,102,Navette Tram 102,3,,,125,102
103,1,103,Navette Tram 103,3,,,126,103
104,1,104,Navette Tram 104,3,,,127,104
105,1,105,Navette Tram 105,3,,,128,105
106,1,106,Navette Tram 106,3,,,129,106
107,1,107,Navette Tram 107,3,,,130,107
108,1,108,Navette Tram 108,3,,,131,108
109,1,109,Navette Tram 109,3,,,132,109
110,1,110,Navette Tram 110,3,,,133,110
111,1,111,Navette Tram 111,3,,,134,111
112,1,112,Navette Tram 112,3,,,135,112
113,1,113,Navette Tram 113,3,,,136,113
