stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
BMAI81,BMAI81,10 Mai 1981,45.00774400,-0.52496000,33004,,1,,0,,,,,,
B11N95,B11N95,11 Novembre,44.89488000,-0.50116200,33096,,1,,0,,,,,,
B14JU45,B14JU45,14 Juillet,44.82260100,-0.59344100,33522,,1,,0,,,,,,
B14JUIL,B14JUIL,14 Juillet,44.80769900,-0.54755100,33039,,1,,0,,,,,,
B19MA91,B19MA91,19 Mars 1962,45.01237300,-0.53570200,33004,,1,,0,,,,,,
BMARS62,BMARS62,19 Mars 1962,44.87744800,-0.64211200,33162,,1,,0,,,,,,
B4PAVI,B4PAVI,4 Pavillons,44.86615400,-0.51394300,33249,,1,,0,,,,,,
B45PARA,B45PARA,45ème Parallèle,44.83177200,-0.69393000,33281,,1,,0,,,,,,
BMETEO,BMETEO,45ème Parallèle,44.83168400,-0.69388600,33281,,1,,0,,,,,,
B5CHEMI,B5CHEMI,5 Chemins,44.86080800,-0.69611400,33200,,1,,0,,,,,,
BTESPA,BTESPA,5 Chemins,44.86130300,-0.69490500,33200,,1,,0,,,,,,
B8Mai4,B8Mai4,8 Mai 1945,44.86723600,-0.60262300,33069,,1,,0,,,,,,
B8Mai45,B8Mai45,8 Mai 1945,44.85190000,-0.51115700,33119,,1,,0,,,,,,
BMAI36,BMAI36,8 Mai 1945,44.86520600,-0.63844100,33162,,1,,0,,,,,,
BTABERN,BTABERN,Abel Gance,44.87858300,-0.50022100,33249,,1,,0,,,,,,
BACACI,BACACI,Acacias,44.88524900,-0.52907800,33249,,1,,0,,,,,,
BACAPES,BACAPES,Acacias,44.78946500,-0.63697900,33318,,1,,0,,,,,,
BAFPA,BAFPA,AFPA Pessac,44.79017700,-0.64987100,33318,,1,,0,,,,,,
BAGRIE,BAGRIE,Agrières,44.91100300,-0.68118900,33519,,1,,0,,,,,,
BAIA,BAIA,AIA,44.82712500,-0.53822900,33063,,1,,0,,,,,,
BACESAI,BACESAI,Aimé Césaire,44.87804800,-0.66410000,33162,,1,,0,,,,,,
BSCOAMA,BSCOAMA,Albert Marquet,44.87554300,-0.69560200,33449,,1,,0,,,,,,
BALBRET,BALBRET,Albret,44.83303100,-0.58193400,33063,,1,,0,,,,,,
BLANCON,BLANCON,Alcide Lançon,44.91091500,-0.64121600,33056,,1,,0,,,,,,
BSCOALF,BSCOALF,Alfred de Vigny,44.83039500,-0.63305000,33281,,1,,0,,,,,,
TVIGNY,TVIGNY,Alfred de Vigny,44.83023000,-0.63395800,33281,,1,,0,,,,,,
BSCOALI,BSCOALI,Alienor,44.78777400,-0.68719000,33318,,1,,0,,,,,,
BALLAR,BALLAR,Allard,44.87783800,-0.59152800,33075,,1,,0,,,,,,
BALL22,BALL22,Allende,44.80060200,-0.55764700,33039,,1,,0,,,,,,
BALLE40,BALLE40,Allende,44.78899600,-0.58707700,33522,,1,,0,,,,,,
BALLEN,BALLEN,Allende,44.86738900,-0.52220100,33249,,1,,0,,,,,,
BACURE,BACURE,Allée de Curé,44.91135500,-0.68483400,33519,,1,,0,,,,,,
BCHAMBR,BCHAMBR,Allée de la Chambre,44.93435100,-0.75793500,33376,,1,,0,,,,,,
BPRAIRI,BPRAIRI,Allée de la Prairie,44.84840900,-0.64383200,33281,,1,,0,,,,,,
BBECASS,BBECASS,Allée des Bécasses,44.93173100,-0.75996700,33376,,1,,0,,,,,,
BAPINS,BAPINS,Allée des Pins,44.83634500,-0.60178700,33063,,1,,0,,,,,,
BANORD,BANORD,Allée du Nord,44.91414900,-0.74211900,33376,,1,,0,,,,,,
BAVIEIL,BAVIEIL,Allée Vieille,44.87878400,-0.73637500,33449,,1,,0,,,,,,
BALOHA,BALOHA,Aloha,44.91571800,-0.68035100,33519,,1,,0,,,,,,
BDAUDE,BDAUDE,Alphonse Daudet,44.79317100,-0.63926300,33318,,1,,0,,,,,,
BDANDI,BDANDI,Alphonse Dupeux,44.83026700,-0.58700300,33063,,1,,0,,,,,,
BFSOURD,BFSOURD,Alphonse Dupeux,44.82990400,-0.58777200,33063,,1,,0,,,,,,
BAMBCEN,BAMBCEN,Ambarès Centre,44.92672000,-0.48700100,33003,,1,,0,,,,,,
BAMBAR,BAMBAR,Ambarès Eglise,44.92442500,-0.48416900,33003,,1,,0,,,,,,
BSCOAMB,BSCOAMB,Ambroise Paré,44.89728800,-0.77146200,33449,,1,,0,,,,,,
BAMBEGL,BAMBEGL,Ambès Eglise,45.01367600,-0.53016800,33004,,1,,0,,,,,,
BAMPERE,BAMPERE,Ampère-Grand Parc,44.86240500,-0.58466700,33063,,1,,0,,,,,,
BGERMAI,BGERMAI,Amédée St Germain,44.81792000,-0.56241600,33063,,1,,0,,,,,,
BAFR21,BAFR21,Anatole France,44.76647400,-0.58011800,33550,,1,,0,,,,,,
